"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","seed","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","target","foil","choices","combination_order","choices_in_order","round","condition","trial_counter","target_location","trial_kind","correct"
"pavlovia","0","20","0.0-0.0","CAN_113","113","","","","","","","","","","","","","","","","","","",""
"preload","1","838","0.0-1.0","CAN_113","113","true","false","[]","[]","[]","","","","","","","","","","","","","",""
"fullscreen","2","5018","0.0-2.0","CAN_113","113","true","","","","","","","","","","","","","","","","","",""
"html-button-response","3","77092","0.0-3.0","CAN_113","113","","","","","","72050","","0","","","","","","","","","","",""
"html-button-response","4","78944","0.0-4.0","CAN_113","113","","","","","","1838","","0","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","trigger",""
"html-button-response","5","79786","0.0-5.0-0.0","CAN_113","113","","","","","","824","<button class=""jspsych-btn""><img src=""stimuli/star.png"" style=""width: 200px;height: 200px;""></button>","0","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","response","0"
"html-audio-button-response","6","80424","0.0-5.0-1.0","CAN_113","113","","","","","","null","stimuli/boing.m4a","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","audio_feedback","0"
"html-button-response","7","85718","0.0-5.1-0.1","CAN_113","113","","","","","","5245","<button class=""jspsych-btn""><img src=""stimuli/star.png"" style=""width: 200px;height: 200px;""></button>","1","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","response","1"
"html-audio-button-response","8","85932","0.0-5.1-1.1","CAN_113","113","","","","","","null","stimuli/bleep.m4a","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","audio_feedback","1"
"html-button-response","9","86459","0.0-6.0","CAN_113","113","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","iti",""
"html-button-response","10","89898","0.0-7.0","CAN_113","113","","","","","","3421","","0","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","trigger",""
"html-button-response","11","91099","0.0-8.0-0.0","CAN_113","113","","","","","","1185","<button class=""jspsych-btn""><img src=""stimuli/triangle.png"" style=""width: 200px;height: 200px;""></button>","0","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","response","1"
"html-audio-button-response","12","91308","0.0-8.0-1.0","CAN_113","113","","","","","","null","stimuli/bleep.m4a","null","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","audio_feedback","1"
"html-button-response","13","91824","0.0-9.0","CAN_113","113","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","iti",""
"html-button-response","14","93164","0.0-10.0","CAN_113","113","","","","","","1319","","0","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","trigger",""
"html-button-response","15","94251","0.0-11.0-0.0","CAN_113","113","","","","","","1050","<button class=""jspsych-btn""><img src=""stimuli/diamond.png"" style=""width: 200px;height: 200px;""></button>","1","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","response","1"
"html-audio-button-response","16","94459","0.0-11.0-1.0","CAN_113","113","","","","","","null","stimuli/bleep.m4a","null","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","audio_feedback","1"
"html-button-response","17","94975","0.0-12.0","CAN_113","113","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","iti",""
"html-button-response","18","95875","0.0-13.0","CAN_113","113","","","","","","896","","0","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","trigger",""
"html-button-response","19","96715","0.0-14.0-0.0","CAN_113","113","","","","","","828","<button class=""jspsych-btn""><img src=""stimuli/pentagram.png"" style=""width: 200px;height: 200px;""></button>","0","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","response","1"
"html-audio-button-response","20","96926","0.0-14.0-1.0","CAN_113","113","","","","","","null","stimuli/bleep.m4a","null","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","audio_feedback","1"
"html-button-response","21","97456","0.0-15.0","CAN_113","113","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","iti",""
"html-button-response","22","111708","0.0-16.0","CAN_113","113","","","","","","14236","","0","","","","","","","","","","",""
"html-button-response","23","112597","0.0-17.0","CAN_113","113","","","","","","879","","0","darkgreenblue","neonyellow","[""darkgreenblue"",""neonyellow"",""low nameability""]","right-left","[""neonyellow"",""darkgreenblue""]","1","low nameability","1","right","trigger",""
"html-button-response","24","113273","0.0-18.0-0.0","CAN_113","113","","","","","","665","<button class=""jspsych-btn""><img src=""stimuli/darkgreenblue.png"" style=""width: 200px;height: 200px;""></button>","1","darkgreenblue","neonyellow","[""darkgreenblue"",""neonyellow"",""low nameability""]","right-left","[""neonyellow"",""darkgreenblue""]","1","low nameability","1","right","response","1"
"html-audio-button-response","25","113478","0.0-18.0-1.0","CAN_113","113","","","","","","null","stimuli/bleep.m4a","null","darkgreenblue","neonyellow","[""darkgreenblue"",""neonyellow"",""low nameability""]","right-left","[""neonyellow"",""darkgreenblue""]","1","low nameability","1","right","audio_feedback","1"
"html-button-response","26","113998","0.0-19.0","CAN_113","113","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","darkgreenblue","neonyellow","[""darkgreenblue"",""neonyellow"",""low nameability""]","right-left","[""neonyellow"",""darkgreenblue""]","1","low nameability","1","right","iti",""
"html-button-response","27","114607","0.0-20.0","CAN_113","113","","","","","","586","","0","turquoise","pink","[""turquoise"",""pink"",""low nameability""]","right-left","[""pink"",""turquoise""]","1","low nameability","2","right","trigger",""
