"Estimate","SE","z","p"
"Intercept",0.936,0.09,10.4,2.51e-25
"Condition",0.278,0.178,1.56,0.118
"Block Number",0.125,0.049,2.55,0.0109
"Round",0.455,0.0968,4.7,2.58e-06
"Condition * Block Number",0.231,0.0895,2.58,0.00992
"Condition * Round",0.0655,0.183,0.358,0.721
"Block Number * Round",-0.256,0.0948,-2.7,0.00687
"Condition * Block Number * Round",-0.117,0.172,-0.681,0.496
