color,number_responses,avg_words_per_response,percent_unique_words,percent_unique_lemmas,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
blue,90,1.0,0.011111111111111112,0.011111111111111112,1.0,1.0,blue,1.0,blue
brown,90,1.0,0.011111111111111112,0.011111111111111112,1.0,1.0,brown,1.0,brown
chartreuse,90,1.6222222222222222,0.3013698630136986,0.3013698630136986,0.20321209258384507,0.7111111111111111,green,0.24444444444444444,green
honeydew,90,1.8,0.11728395061728394,0.11728395061728394,0.3007438079901848,0.8444444444444444,green,0.43333333333333335,light.green
mauve,90,1.3,0.27350427350427353,0.27350427350427353,0.09843796050692602,0.26666666666666666,pink,0.14444444444444443,pink
orange,90,1.0,0.011111111111111112,0.011111111111111112,1.0,1.0,orange,1.0,orange
purple,90,1.0,0.022222222222222223,0.022222222222222223,0.9777777777777777,0.9888888888888889,purple,0.9888888888888889,purple
red,90,1.0,0.011111111111111112,0.011111111111111112,1.0,1.0,red,1.0,red
sienna,90,1.288888888888889,0.23275862068965517,0.23275862068965517,0.1752623688155922,0.4666666666666667,orange,0.24444444444444444,orange
teal,90,1.6555555555555554,0.15436241610738255,0.15436241610738255,0.155450752766189,0.4111111111111111,dark,0.14444444444444443,dark.green
turquoise,90,1.1,0.1111111111111111,0.1111111111111111,0.2795299938157081,0.5,teal,0.4666666666666667,teal
yellow,90,1.0,0.011111111111111112,0.011111111111111112,1.0,1.0,yellow,1.0,yellow
