color,number_responses,avg_words_per_response,percent_unique_words,percent_unique_lemmas,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
blue,97,1.0,0.010309278350515464,0.010309278350515464,1.0,1.0,blue,1.0,blue
brown,97,1.0,0.010309278350515464,0.010309278350515464,1.0,1.0,brown,1.0,brown
chartreuse,97,1.4948453608247423,0.18620689655172415,0.18620689655172415,0.32241379310344825,0.8041237113402062,green,0.4742268041237113,green
honeydew,97,1.6082474226804124,0.09615384615384616,0.08974358974358974,0.41836228287841193,0.9175257731958762,green,0.44329896907216493,light.green
mauve,97,1.2474226804123711,0.18181818181818182,0.18181818181818182,0.14724517906336088,0.31958762886597936,pink,0.27835051546391754,pink
orange,97,1.0,0.010309278350515464,0.010309278350515464,1.0,1.0,orange,1.0,orange
purple,97,1.0206185567010309,0.04040404040404041,0.04040404040404041,0.9400123685837971,0.9896907216494846,purple,0.9896907216494846,purple
red,97,1.0,0.020618556701030927,0.020618556701030927,0.979381443298969,0.9896907216494846,red,0.9896907216494846,red
sienna,97,1.2783505154639174,0.14516129032258066,0.14516129032258066,0.1765014424337792,0.35051546391752575,orange,0.26804123711340205,red
teal,97,1.5051546391752577,0.17123287671232876,0.17123287671232876,0.15918752952290977,0.3917525773195876,blue,0.18556701030927836,dark.blue
turquoise,97,1.2474226804123711,0.17355371900826447,0.17355371900826447,0.2049586776859504,0.5051546391752577,blue,0.30927835051546393,blue
yellow,97,1.0103092783505154,0.07142857142857142,0.07142857142857142,0.8617715127288028,0.9381443298969072,yellow,0.9381443298969072,yellow
