"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","seed","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","target","foil","choices","combination_order","choices_in_order","round","condition","trial_counter","target_location","trial_kind","correct"
"pavlovia","0","21","0.0-0.0","CKN_116","116","","","","","","","","","","","","","","","","","","",""
"preload","1","940","0.0-1.0","CKN_116","116","true","false","[]","[]","[]","","","","","","","","","","","","","",""
"fullscreen","2","5949","0.0-2.0","CKN_116","116","true","","","","","","","","","","","","","","","","","",""
"html-button-response","3","62667","0.0-3.0","CKN_116","116","","","","","","56680","","0","","","","","","","","","","",""
"html-button-response","4","72489","0.0-4.0","CKN_116","116","","","","","","9808","","0","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","trigger",""
"html-button-response","5","77272","0.0-5.0-0.0","CKN_116","116","","","","","","4758","<button class=""jspsych-btn""><img src=""stimuli/star.png"" style=""width: 200px;height: 200px;""></button>","1","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","response","1"
"html-audio-button-response","6","77483","0.0-5.0-1.0","CKN_116","116","","","","","","null","stimuli/bleep.m4a","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","audio_feedback","1"
"html-button-response","7","78015","0.0-6.0","CKN_116","116","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","iti",""
"html-button-response","8","81706","0.0-7.0","CKN_116","116","","","","","","3666","","0","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","trigger",""
"html-button-response","9","95730","0.0-8.0-0.0","CKN_116","116","","","","","","14018","<button class=""jspsych-btn""><img src=""stimuli/triangle.png"" style=""width: 200px;height: 200px;""></button>","0","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","response","1"
"html-audio-button-response","10","95938","0.0-8.0-1.0","CKN_116","116","","","","","","null","stimuli/bleep.m4a","null","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","audio_feedback","1"
"html-button-response","11","96457","0.0-9.0","CKN_116","116","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","iti",""
"html-button-response","12","104708","0.0-10.0","CKN_116","116","","","","","","8241","","0","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","trigger",""
"html-button-response","13","108139","0.0-11.0-0.0","CKN_116","116","","","","","","3420","<button class=""jspsych-btn""><img src=""stimuli/diamond.png"" style=""width: 200px;height: 200px;""></button>","1","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","response","1"
"html-audio-button-response","14","108347","0.0-11.0-1.0","CKN_116","116","","","","","","null","stimuli/bleep.m4a","null","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","audio_feedback","1"
"html-button-response","15","108853","0.0-12.0","CKN_116","116","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","iti",""
"html-button-response","16","111466","0.0-13.0","CKN_116","116","","","","","","2607","","0","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","trigger",""
"html-button-response","17","117720","0.0-14.0-0.0","CKN_116","116","","","","","","6245","<button class=""jspsych-btn""><img src=""stimuli/pentagram.png"" style=""width: 200px;height: 200px;""></button>","1","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","response","0"
"html-audio-button-response","18","118355","0.0-14.0-1.0","CKN_116","116","","","","","","null","stimuli/boing.m4a","null","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","audio_feedback","0"
"html-button-response","19","124835","0.0-14.1-0.1","CKN_116","116","","","","","","6467","<button class=""jspsych-btn""><img src=""stimuli/pentagram.png"" style=""width: 200px;height: 200px;""></button>","0","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","response","1"
"html-audio-button-response","20","125042","0.0-14.1-1.1","CKN_116","116","","","","","","null","stimuli/bleep.m4a","null","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","audio_feedback","1"
"html-button-response","21","125567","0.0-15.0","CKN_116","116","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","iti",""
"html-button-response","22","134609","0.0-16.0","CKN_116","116","","","","","","9023","","0","","","","","","","","","","",""
"html-button-response","23","140599","0.0-17.0","CKN_116","116","","","","","","5979","","0","orange","purple","[""orange"",""purple"",""high nameability""]","left-right","[""orange"",""purple"",""high nameability""]","1","high nameability","1","left","trigger",""
"html-button-response","24","143261","0.0-18.0-0.0","CKN_116","116","","","","","","2653","<button class=""jspsych-btn""><img src=""stimuli/orange.png"" style=""width: 200px;height: 200px;""></button>","1","orange","purple","[""orange"",""purple"",""high nameability""]","left-right","[""orange"",""purple"",""high nameability""]","1","high nameability","1","left","response","0"
"html-audio-button-response","25","143901","0.0-18.0-1.0","CKN_116","116","","","","","","null","stimuli/boing.m4a","null","orange","purple","[""orange"",""purple"",""high nameability""]","left-right","[""orange"",""purple"",""high nameability""]","1","high nameability","1","left","audio_feedback","0"
"html-button-response","26","152881","0.0-18.1-0.1","CKN_116","116","","","","","","8949","<button class=""jspsych-btn""><img src=""stimuli/orange.png"" style=""width: 200px;height: 200px;""></button>","0","orange","purple","[""orange"",""purple"",""high nameability""]","left-right","[""orange"",""purple"",""high nameability""]","1","high nameability","1","left","response","1"
"html-audio-button-response","27","153083","0.0-18.1-1.1","CKN_116","116","","","","","","null","stimuli/bleep.m4a","null","orange","purple","[""orange"",""purple"",""high nameability""]","left-right","[""orange"",""purple"",""high nameability""]","1","high nameability","1","left","audio_feedback","1"
"html-button-response","28","153597","0.0-19.0","CKN_116","116","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","orange","purple","[""orange"",""purple"",""high nameability""]","left-right","[""orange"",""purple"",""high nameability""]","1","high nameability","1","left","iti",""
"html-button-response","29","158864","0.0-20.0","CKN_116","116","","","","","","5255","","0","red","brown","[""red"",""brown"",""high nameability""]","right-left","[""brown"",""red""]","1","high nameability","2","right","trigger",""
"html-button-response","30","170375","0.0-21.0-0.0","CKN_116","116","","","","","","11505","<button class=""jspsych-btn""><img src=""stimuli/red.png"" style=""width: 200px;height: 200px;""></button>","1","red","brown","[""red"",""brown"",""high nameability""]","right-left","[""brown"",""red""]","1","high nameability","2","right","response","1"
"html-audio-button-response","31","170578","0.0-21.0-1.0","CKN_116","116","","","","","","null","stimuli/bleep.m4a","null","red","brown","[""red"",""brown"",""high nameability""]","right-left","[""brown"",""red""]","1","high nameability","2","right","audio_feedback","1"
"html-button-response","32","171102","0.0-22.0","CKN_116","116","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","red","brown","[""red"",""brown"",""high nameability""]","right-left","[""brown"",""red""]","1","high nameability","2","right","iti",""
"html-button-response","33","174908","0.0-23.0","CKN_116","116","","","","","","3786","","0","darkgreenblue","pink","[""darkgreenblue"",""pink"",""low nameability""]","right-left","[""pink"",""darkgreenblue""]","1","low nameability","3","right","trigger",""
"html-button-response","34","183854","0.0-24.0-0.0","CKN_116","116","","","","","","8938","<button class=""jspsych-btn""><img src=""stimuli/darkgreenblue.png"" style=""width: 200px;height: 200px;""></button>","1","darkgreenblue","pink","[""darkgreenblue"",""pink"",""low nameability""]","right-left","[""pink"",""darkgreenblue""]","1","low nameability","3","right","response","1"
"html-audio-button-response","35","184063","0.0-24.0-1.0","CKN_116","116","","","","","","null","stimuli/bleep.m4a","null","darkgreenblue","pink","[""darkgreenblue"",""pink"",""low nameability""]","right-left","[""pink"",""darkgreenblue""]","1","low nameability","3","right","audio_feedback","1"
"html-button-response","36","184584","0.0-25.0","CKN_116","116","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","darkgreenblue","pink","[""darkgreenblue"",""pink"",""low nameability""]","right-left","[""pink"",""darkgreenblue""]","1","low nameability","3","right","iti",""
"html-button-response","37","187237","0.0-26.0","CKN_116","116","","","","","","2640","","0","purple","brown","[""purple"",""brown"",""high nameability""]","right-left","[""brown"",""purple""]","1","high nameability","4","right","trigger",""
"html-button-response","38","189168","0.0-27.0-0.0","CKN_116","116","","","","","","1924","<button class=""jspsych-btn""><img src=""stimuli/purple.png"" style=""width: 200px;height: 200px;""></button>","1","purple","brown","[""purple"",""brown"",""high nameability""]","right-left","[""brown"",""purple""]","1","high nameability","4","right","response","1"
"html-audio-button-response","39","189387","0.0-27.0-1.0","CKN_116","116","","","","","","null","stimuli/bleep.m4a","null","purple","brown","[""purple"",""brown"",""high nameability""]","right-left","[""brown"",""purple""]","1","high nameability","4","right","audio_feedback","1"
"html-button-response","40","189904","0.0-28.0","CKN_116","116","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","purple","brown","[""purple"",""brown"",""high nameability""]","right-left","[""brown"",""purple""]","1","high nameability","4","right","iti",""
"html-button-response","41","191051","0.0-29.0","CKN_116","116","","","","","","1140","","0","red","purple","[""red"",""purple"",""high nameability""]","left-right","[""red"",""purple"",""high nameability""]","1","high nameability","5","left","trigger",""
"html-button-response","42","198201","0.0-30.0-0.0","CKN_116","116","","","","","","7140","<button class=""jspsych-btn""><img src=""stimuli/red.png"" style=""width: 200px;height: 200px;""></button>","0","red","purple","[""red"",""purple"",""high nameability""]","left-right","[""red"",""purple"",""high nameability""]","1","high nameability","5","left","response","1"
"html-audio-button-response","43","198410","0.0-30.0-1.0","CKN_116","116","","","","","","null","stimuli/bleep.m4a","null","red","purple","[""red"",""purple"",""high nameability""]","left-right","[""red"",""purple"",""high nameability""]","1","high nameability","5","left","audio_feedback","1"
"html-button-response","44","198930","0.0-31.0","CKN_116","116","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","red","purple","[""red"",""purple"",""high nameability""]","left-right","[""red"",""purple"",""high nameability""]","1","high nameability","5","left","iti",""
"html-button-response","45","199927","0.0-32.0","CKN_116","116","","","","","","987","","0","brown","red","[""brown"",""red"",""high nameability""]","right-left","[""red"",""brown""]","1","high nameability","6","right","trigger",""
