"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","seed","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","target","foil","choices","combination_order","choices_in_order","round","condition","trial_counter","target_location","trial_kind","correct"
"pavlovia","0","15","0.0-0.0","CKN_112","112","","","","","","","","","","","","","","","","","","",""
"preload","1","1126","0.0-1.0","CKN_112","112","true","false","[]","[]","[]","","","","","","","","","","","","","",""
"fullscreen","2","3735","0.0-2.0","CKN_112","112","true","","","","","","","","","","","","","","","","","",""
"html-button-response","3","21671","0.0-3.0","CKN_112","112","","","","","","17912","","0","","","","","","","","","","",""
"html-button-response","4","25779","0.0-4.0","CKN_112","112","","","","","","4094","","0","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","trigger",""
"html-button-response","5","36319","0.0-5.0-0.0","CKN_112","112","","","","","","10530","<button class=""jspsych-btn""><img src=""stimuli/star.png"" style=""width: 200px;height: 200px;""></button>","0","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","response","0"
"html-audio-button-response","6","36971","0.0-5.0-1.0","CKN_112","112","","","","","","null","stimuli/boing.m4a","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","audio_feedback","0"
"html-button-response","7","44647","0.0-5.1-0.1","CKN_112","112","","","","","","7654","<button class=""jspsych-btn""><img src=""stimuli/star.png"" style=""width: 200px;height: 200px;""></button>","1","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","response","1"
"html-audio-button-response","8","44852","0.0-5.1-1.1","CKN_112","112","","","","","","null","stimuli/bleep.m4a","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","audio_feedback","1"
"html-button-response","9","45365","0.0-6.0","CKN_112","112","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","iti",""
"html-button-response","10","49691","0.0-7.0","CKN_112","112","","","","","","4317","","0","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","trigger",""
"html-button-response","11","54066","0.0-8.0-0.0","CKN_112","112","","","","","","4364","<button class=""jspsych-btn""><img src=""stimuli/triangle.png"" style=""width: 200px;height: 200px;""></button>","1","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","response","0"
"html-audio-button-response","12","54702","0.0-8.0-1.0","CKN_112","112","","","","","","null","stimuli/boing.m4a","null","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","audio_feedback","0"
"html-button-response","13","58232","0.0-8.1-0.1","CKN_112","112","","","","","","3500","<button class=""jspsych-btn""><img src=""stimuli/triangle.png"" style=""width: 200px;height: 200px;""></button>","0","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","response","1"
"html-audio-button-response","14","58440","0.0-8.1-1.1","CKN_112","112","","","","","","null","stimuli/bleep.m4a","null","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","audio_feedback","1"
