"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","seed","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","target","foil","choices","combination_order","choices_in_order","round","condition","trial_counter","target_location","trial_kind","correct"
"pavlovia","0","19","0.0-0.0","CKN_134","134","","","","","","","","","","","","","","","","","","",""
"preload","1","682","0.0-1.0","CKN_134","134","true","false","[]","[]","[]","","","","","","","","","","","","","",""
"fullscreen","2","2533","0.0-2.0","CKN_134","134","true","","","","","","","","","","","","","","","","","",""
"html-button-response","3","170655","0.0-3.0","CKN_134","134","","","","","","168100","","0","","","","","","","","","","",""
"html-button-response","4","177498","0.0-4.0","CKN_134","134","","","","","","6820","","0","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","trigger",""
"html-button-response","5","186377","0.0-5.0-0.0","CKN_134","134","","","","","","8860","<button class=""jspsych-btn""><img src=""stimuli/star.png"" style=""width: 200px;height: 200px;""></button>","0","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","response","0"
"html-audio-button-response","6","187025","0.0-5.0-1.0","CKN_134","134","","","","","","null","stimuli/boing.m4a","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","audio_feedback","0"
"html-button-response","7","197153","0.0-5.1-0.1","CKN_134","134","","","","","","10089","<button class=""jspsych-btn""><img src=""stimuli/star.png"" style=""width: 200px;height: 200px;""></button>","1","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","response","1"
"html-audio-button-response","8","197372","0.0-5.1-1.1","CKN_134","134","","","","","","null","stimuli/bleep.m4a","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","audio_feedback","1"
"html-button-response","9","197903","0.0-6.0","CKN_134","134","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","iti",""
