"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","seed","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","target","foil","choices","combination_order","choices_in_order","round","condition","trial_counter","target_location","trial_kind","correct"
"pavlovia","0","20","0.0-0.0","CKN_133","133","","","","","","","","","","","","","","","","","","",""
"preload","1","756","0.0-1.0","CKN_133","133","true","false","[]","[]","[]","","","","","","","","","","","","","",""
"fullscreen","2","4765","0.0-2.0","CKN_133","133","true","","","","","","","","","","","","","","","","","",""
"html-button-response","3","212033","0.0-3.0","CKN_133","133","","","","","","207249","","0","","","","","","","","","","",""
"html-button-response","4","220295","0.0-4.0","CKN_133","133","","","","","","8250","","0","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","trigger",""
"html-button-response","5","226255","0.0-5.0-0.0","CKN_133","133","","","","","","5945","<button class=""jspsych-btn""><img src=""stimuli/star.png"" style=""width: 200px;height: 200px;""></button>","1","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","response","1"
"html-audio-button-response","6","226484","0.0-5.0-1.0","CKN_133","133","","","","","","null","stimuli/bleep.m4a","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","audio_feedback","1"
"html-button-response","7","227012","0.0-6.0","CKN_133","133","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","star","square","[""square"",""star""]","left-right","[""square"",""star""]","1","practice","1","right","iti",""
"html-button-response","8","231671","0.0-7.0","CKN_133","133","","","","","","4635","","0","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","trigger",""
"html-button-response","9","240628","0.0-8.0-0.0","CKN_133","133","","","","","","8948","<button class=""jspsych-btn""><img src=""stimuli/triangle.png"" style=""width: 200px;height: 200px;""></button>","0","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","response","1"
"html-audio-button-response","10","240840","0.0-8.0-1.0","CKN_133","133","","","","","","null","stimuli/bleep.m4a","null","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","audio_feedback","1"
"html-button-response","11","241358","0.0-9.0","CKN_133","133","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","triangle","pentagram","[""triangle"",""pentagram""]","left-right","[""triangle"",""pentagram""]","1","practice","1","left","iti",""
"html-button-response","12","243008","0.0-10.0","CKN_133","133","","","","","","1636","","0","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","trigger",""
"html-button-response","13","246363","0.0-11.0-0.0","CKN_133","133","","","","","","3341","<button class=""jspsych-btn""><img src=""stimuli/diamond.png"" style=""width: 200px;height: 200px;""></button>","1","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","response","1"
"html-audio-button-response","14","246574","0.0-11.0-1.0","CKN_133","133","","","","","","null","stimuli/bleep.m4a","null","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","audio_feedback","1"
"html-button-response","15","247089","0.0-12.0","CKN_133","133","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","diamond","rectangle","[""rectangle"",""diamond""]","left-right","[""rectangle"",""diamond""]","1","practice","1","right","iti",""
"html-button-response","16","250564","0.0-13.0","CKN_133","133","","","","","","3460","","0","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","trigger",""
"html-button-response","17","254882","0.0-14.0-0.0","CKN_133","133","","","","","","4304","<button class=""jspsych-btn""><img src=""stimuli/pentagram.png"" style=""width: 200px;height: 200px;""></button>","0","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","response","1"
"html-audio-button-response","18","255087","0.0-14.0-1.0","CKN_133","133","","","","","","null","stimuli/bleep.m4a","null","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","audio_feedback","1"
"html-button-response","19","255611","0.0-15.0","CKN_133","133","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","pentagram","star","[""pentagram"",""star""]","left-right","[""pentagram"",""star""]","1","practice","1","left","iti",""
"html-button-response","20","259423","0.0-16.0","CKN_133","133","","","","","","3787","","0","","","","","","","","","","",""
"html-button-response","21","262185","0.0-17.0","CKN_133","133","","","","","","2750","","0","darkgreenblue","pink","[""darkgreenblue"",""pink"",""low nameability""]","right-left","[""pink"",""darkgreenblue""]","1","low nameability","1","right","trigger",""
"html-button-response","22","265953","0.0-18.0-0.0","CKN_133","133","","","","","","3754","<button class=""jspsych-btn""><img src=""stimuli/darkgreenblue.png"" style=""width: 200px;height: 200px;""></button>","1","darkgreenblue","pink","[""darkgreenblue"",""pink"",""low nameability""]","right-left","[""pink"",""darkgreenblue""]","1","low nameability","1","right","response","1"
"html-audio-button-response","23","266160","0.0-18.0-1.0","CKN_133","133","","","","","","null","stimuli/bleep.m4a","null","darkgreenblue","pink","[""darkgreenblue"",""pink"",""low nameability""]","right-left","[""pink"",""darkgreenblue""]","1","low nameability","1","right","audio_feedback","1"
"html-button-response","24","266686","0.0-19.0","CKN_133","133","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","darkgreenblue","pink","[""darkgreenblue"",""pink"",""low nameability""]","right-left","[""pink"",""darkgreenblue""]","1","low nameability","1","right","iti",""
"html-button-response","25","269591","0.0-20.0","CKN_133","133","","","","","","2892","","0","mustard","lightred","[""mustard"",""lightred"",""low nameability""]","left-right","[""mustard"",""lightred"",""low nameability""]","1","low nameability","2","left","trigger",""
"html-button-response","26","277357","0.0-21.0-0.0","CKN_133","133","","","","","","7757","<button class=""jspsych-btn""><img src=""stimuli/mustard.png"" style=""width: 200px;height: 200px;""></button>","0","mustard","lightred","[""mustard"",""lightred"",""low nameability""]","left-right","[""mustard"",""lightred"",""low nameability""]","1","low nameability","2","left","response","1"
"html-audio-button-response","27","277580","0.0-21.0-1.0","CKN_133","133","","","","","","null","stimuli/bleep.m4a","null","mustard","lightred","[""mustard"",""lightred"",""low nameability""]","left-right","[""mustard"",""lightred"",""low nameability""]","1","low nameability","2","left","audio_feedback","1"
"html-button-response","28","278123","0.0-22.0","CKN_133","133","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","mustard","lightred","[""mustard"",""lightred"",""low nameability""]","left-right","[""mustard"",""lightred"",""low nameability""]","1","low nameability","2","left","iti",""
"html-button-response","29","279614","0.0-23.0","CKN_133","133","","","","","","1472","","0","red","yellow","[""red"",""yellow"",""high nameability""]","right-left","[""yellow"",""red""]","1","high nameability","3","right","trigger",""
"html-button-response","30","281894","0.0-24.0-0.0","CKN_133","133","","","","","","2262","<button class=""jspsych-btn""><img src=""stimuli/red.png"" style=""width: 200px;height: 200px;""></button>","1","red","yellow","[""red"",""yellow"",""high nameability""]","right-left","[""yellow"",""red""]","1","high nameability","3","right","response","1"
"html-audio-button-response","31","282120","0.0-24.0-1.0","CKN_133","133","","","","","","null","stimuli/bleep.m4a","null","red","yellow","[""red"",""yellow"",""high nameability""]","right-left","[""yellow"",""red""]","1","high nameability","3","right","audio_feedback","1"
"html-button-response","32","282650","0.0-25.0","CKN_133","133","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","red","yellow","[""red"",""yellow"",""high nameability""]","right-left","[""yellow"",""red""]","1","high nameability","3","right","iti",""
"html-button-response","33","284770","0.0-26.0","CKN_133","133","","","","","","2107","","0","darkgreenblue","mustard","[""darkgreenblue"",""mustard"",""low nameability""]","left-right","[""darkgreenblue"",""mustard"",""low nameability""]","1","low nameability","4","left","trigger",""
"html-button-response","34","286274","0.0-27.0-0.0","CKN_133","133","","","","","","1490","<button class=""jspsych-btn""><img src=""stimuli/darkgreenblue.png"" style=""width: 200px;height: 200px;""></button>","0","darkgreenblue","mustard","[""darkgreenblue"",""mustard"",""low nameability""]","left-right","[""darkgreenblue"",""mustard"",""low nameability""]","1","low nameability","4","left","response","1"
"html-audio-button-response","35","286479","0.0-27.0-1.0","CKN_133","133","","","","","","null","stimuli/bleep.m4a","null","darkgreenblue","mustard","[""darkgreenblue"",""mustard"",""low nameability""]","left-right","[""darkgreenblue"",""mustard"",""low nameability""]","1","low nameability","4","left","audio_feedback","1"
"html-button-response","36","286994","0.0-28.0","CKN_133","133","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","darkgreenblue","mustard","[""darkgreenblue"",""mustard"",""low nameability""]","left-right","[""darkgreenblue"",""mustard"",""low nameability""]","1","low nameability","4","left","iti",""
"html-button-response","37","288969","0.0-29.0","CKN_133","133","","","","","","1962","","0","purple","yellow","[""purple"",""yellow"",""high nameability""]","left-right","[""purple"",""yellow"",""high nameability""]","1","high nameability","5","left","trigger",""
"html-button-response","38","291285","0.0-30.0-0.0","CKN_133","133","","","","","","2303","<button class=""jspsych-btn""><img src=""stimuli/purple.png"" style=""width: 200px;height: 200px;""></button>","0","purple","yellow","[""purple"",""yellow"",""high nameability""]","left-right","[""purple"",""yellow"",""high nameability""]","1","high nameability","5","left","response","1"
"html-audio-button-response","39","291506","0.0-30.0-1.0","CKN_133","133","","","","","","null","stimuli/bleep.m4a","null","purple","yellow","[""purple"",""yellow"",""high nameability""]","left-right","[""purple"",""yellow"",""high nameability""]","1","high nameability","5","left","audio_feedback","1"
"html-button-response","40","292026","0.0-31.0","CKN_133","133","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","purple","yellow","[""purple"",""yellow"",""high nameability""]","left-right","[""purple"",""yellow"",""high nameability""]","1","high nameability","5","left","iti",""
"html-button-response","41","293256","0.0-32.0","CKN_133","133","","","","","","1218","","0","blue","red","[""blue"",""red"",""high nameability""]","left-right","[""blue"",""red"",""high nameability""]","1","high nameability","6","left","trigger",""
"html-button-response","42","294579","0.0-33.0-0.0","CKN_133","133","","","","","","1311","<button class=""jspsych-btn""><img src=""stimuli/blue.png"" style=""width: 200px;height: 200px;""></button>","0","blue","red","[""blue"",""red"",""high nameability""]","left-right","[""blue"",""red"",""high nameability""]","1","high nameability","6","left","response","1"
"html-audio-button-response","43","294790","0.0-33.0-1.0","CKN_133","133","","","","","","null","stimuli/bleep.m4a","null","blue","red","[""blue"",""red"",""high nameability""]","left-right","[""blue"",""red"",""high nameability""]","1","high nameability","6","left","audio_feedback","1"
"html-button-response","44","295314","0.0-34.0","CKN_133","133","","","","","","null","<button class=""jspsych-btn""><img src=""stimuli/white_square.png"" style=""width: 200px;height: 200px;""></button>","null","blue","red","[""blue"",""red"",""high nameability""]","left-right","[""blue"",""red"",""high nameability""]","1","high nameability","6","left","iti",""
